Product ID,SKU,Product Name,Category,Scale,Price Incl GST (₹),Base Price Excl GST (₹),GST Rate (%),HSN Code,MRP (₹),Discount (%),Stock (Units),Availability,Drivetrain,Top Speed,Motor Type,Battery Pack,Remote / Control,Dimensions,Weight,Age Group,Video Link,Primary Image URL,Gallery Images Count,Short Description,Full Technical Description
53,POS-H19,1:64 Hypercar League Collection-19 Bugatti Divo,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
54,POS-H18,1:64 Hypercar League Collection-18 Porsche 918 Spyder,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
55,POS-H17,1:64 Hypercar League Collection-17 Porsche 918 Spyder,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
56,POS-H16,1:64 Hypercar League Collection-16 Lamborghini Countach LPI 800-4,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
57,POS-H15,1:64 Hypercar League Collection-15 Lamborghini Countach LPI 800-4,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1:64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
58,POS-H14,1:64 Hypercar League Collection-14 McLaren Speedtail,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
59,POS-H13,1:64 Hypercar League Collection-13 McLaren Speedtail,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
60,POS-H12,1:64 Hypercar League Collection-12 Aston Martin Valkyrie,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
61,POS-H11,1:64 Hypercar League Collection-11 Aston Martin Valkyrie,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
62,POS-H04,1:64 Hypercar League Collection-04 McLaren P1,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
63,POS-H03,1:64 Hypercar League Collection-03 McLaren P1,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
64,POS-H02,1:64 Hypercar League Collection-02 Pagani Zonda F (Rosso Dubai ),Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
65,POS-H01,1:64 Hypercar League Collection-01 Pagani Zonda F,Collectables,1:64,2999,2542,18,95030090,3749,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,11 × 6 × 5 cm,0.15 kg,8+ Years,N/A,N/A,0,"Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1/64 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
66,MJXH8P,1:8 Scale MJX H8P Hyper Go Professional 2.4G Off Road 4WD RC Brushless Climbing Crawler Truck Ford Bronco Baja 1000 R Official Licensed,Off Road Crawlers,1:8,96468,81753,18,95030090,120585,20,25,In Stock,4WD,35 KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,86 × 39 × 43 cm,10 kg,8+ Years,N/A,N/A,0,"High-performance MJX H8P RC Car built for speed and durability. Designed with a strong off-road chassis and powerful motor for smooth control on rough terrain. The responsive remote system ensures precise steering, making it perfect for racing, drifting, and outdoor adventures for hobby-grade RC enthusiasts. 🚗⚡","High-performance MJX H8P RC Car built for speed and durability. Designed with a strong off-road chassis and powerful motor for smooth control on rough terrain. The responsive remote system ensures precise steering, making it perfect for racing, drifting, and outdoor adventures for hobby-grade RC enthusiasts. 🚗⚡"
67,MJX12212,1:12 Hyper Go 4WD Brushless RC Car Off-Road Truck 58KM/H High Speed Vehicle Full Metal 2.4G New Truck Model RTR,Off Road Crawlers,1:12,28737,24353,18,95030090,35921,20,25,In Stock,4WD,58KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,48 × 36 × 28 cm,5 kg,8+ Years,N/A,N/A,0,"Powerful 1:12 Hyper Go 4WD Brushless RC Off-Road Truck with 58KM/H high-speed performance and 2.4GHz remote control system. Built with full metal components and strong off-road suspension for racing, climbing, and rough terrain driving. Perfect RTR hobby-grade RC truck for high-speed adventure. 🚗","Powerful 1:12 Hyper Go 4WD Brushless RC Off-Road Truck with 58KM/H high-speed performance and 2.4GHz remote control system. Built with full metal components and strong off-road suspension for racing, climbing, and rough terrain driving. Perfect RTR hobby-grade RC truck for high-speed adventure. 🚗"
68,MJX14304,1:14 Hyper Go 4WD 45-55KM/H High Speed Car Brushless Volkswagen Polo R  Official Licensed WRC Independent ESC Simulation Model RTR,Off Road Crawlers,1:14,24875,21081,18,95030090,31094,20,25,In Stock,4WD,55KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,38 × 23 × 20 cm,3.5 kg,8+ Years,N/A,N/A,0,"The MJX 14304 RC Car is a high-performance 1:14 scale 4WD off-road vehicle designed for speed and durability. Equipped with a powerful motor, responsive 2.4GHz remote control, and strong suspension, it delivers smooth control on rough terrains. Ideal for RC enthusiasts who enjoy fast, thrilling off-road racing. 🚗💨","The MJX 14304 RC Car is a high-performance 1:14 scale 4WD off-road vehicle designed for speed and durability. Equipped with a powerful motor, responsive 2.4GHz remote control, and strong suspension, it delivers smooth control on rough terrains. Ideal for RC enthusiasts who enjoy fast, thrilling off-road racing. 🚗💨"
69,MJXH12P,1:12 Scale MJX H12P Hyper Go Professional 2.4G Off Road 4WD RC Brushless Climbing Crawler Truck Ford Bronco Baja 1000 R Official Licensed,Off Road Crawlers,1:12,28737,24353,18,95030090,35921,20,25,In Stock,4WD,35 KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,51 × 29 × 28 cm,9 kg,8+ Years,N/A,N/A,0,"Professional 1:12 Scale MJX H12P Hyper Go 4WD Brushless RC Crawler Truck with 2.4GHz remote control system and powerful off-road performance. Official Ford Bronco Baja 1000 R licensed model, built for high-speed driving, climbing, and extreme off-road adventures. 🚗","Professional 1:12 Scale MJX H12P Hyper Go 4WD Brushless RC Crawler Truck with 2.4GHz remote control system and powerful off-road performance. Official Ford Bronco Baja 1000 R licensed model, built for high-speed driving, climbing, and extreme off-road adventures. 🚗"
70,MJX14211,1:14 Hyper Go 2.4G Off Road 4WD Brushless Hydraulic Shock Absorber Metal Alloy Chassis Remote Control Brushless Rc Car Desert Model RTR,Racing Cars,1:14,22837,19353,18,95030090,28546,20,25,In Stock,4WD,35 KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,42 × 24 × 24 cm,3.5 kg,8+ Years,N/A,N/A,0,"The MJX 14211 RC Car is a high-performance 1:14 scale 4WD off-road vehicle built for speed, control, and durability. It features a powerful motor, strong suspension system, and 2.4GHz remote control for stable driving. Perfect for RC enthusiasts who enjoy high-speed racing and exciting off-road adventures. 🚗💨","The MJX 14211 RC Car is a high-performance 1:14 scale 4WD off-road vehicle built for speed, control, and durability. It features a powerful motor, strong suspension system, and 2.4GHz remote control for stable driving. Perfect for RC enthusiasts who enjoy high-speed racing and exciting off-road adventures. 🚗💨"
71,MJX7303,1:7 Hyper Go Professinal 4WD RC Rally Car 60KM/H Brushless WRC Citroen C3 Remote Control Drift Car 2.4Ghz 4X4 RTR,Racing Cars,1:7,69999,59321,18,95030090,87499,20,25,In Stock,4WD,60KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,46 × 32 × 20 cm,8.9 kg,8+ Years,https://www.youtube.com/watch?v=dQw4w9WgXcQ,N/A,0,"The MJX 7303 RC Car is a durable off-road remote control vehicle designed for smooth handling and exciting racing. Built with a strong body and responsive 2.4GHz control system, it delivers stable performance on different terrains. Ideal for hobbyists who enjoy speed, control, and outdoor RC adventures. 🚗💨","The MJX 7303 RC Car is a durable off-road remote control vehicle designed for smooth handling and exciting racing. Built with a strong body and responsive 2.4GHz control system, it delivers stable performance on different terrains. Ideal for hobbyists who enjoy speed, control, and outdoor RC adventures. 🚗💨"
72,MJX14303,1:14 Hyper Go Drift RC Car  Brushless 4x4 Professinal Racing 55 K:H High Speed Rally Cars for Boys,Racing Cars,1:14,23123,19596,18,95030090,28904,20,25,In Stock,4WD,35 KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,38 × 23 × 19 cm,2.4 kg,8+ Years,N/A,N/A,0,"The MJX 14303 RC Car is a powerful 1:14 scale 4WD off-road racing vehicle built for speed and durability. With a strong motor, durable suspension, and 2.4GHz remote control, it delivers smooth handling on rough terrains. Ideal for RC enthusiasts who enjoy fast racing and off-road adventures. 🚗💨","The MJX 14303 RC Car is a powerful 1:14 scale 4WD off-road racing vehicle built for speed and durability. With a strong motor, durable suspension, and 2.4GHz remote control, it delivers smooth handling on rough terrains. Ideal for RC enthusiasts who enjoy fast racing and off-road adventures. 🚗💨"
73,MJXH12Y-S,1:12 Hyper Go 4WD New Rc Car Brushless Motor Metal Accessories Climbing Off-road Monster Truck App Controlled 45A ESC,Off Road Crawlers,1:12,29373,24892,18,95030090,36716,20,25,In Stock,4WD,35 KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,45 × 29 × 24 cm,7 kg,8+ Years,N/A,N/A,0,"Powerful 1:12 Hyper Go 4WD Brushless RC Monster Truck with 45A ESC and app control system for smooth and responsive driving. Built with metal accessories and strong off-road suspension, perfect for climbing, racing, and extreme off-road adventures. 🚗","Powerful 1:12 Hyper Go 4WD Brushless RC Monster Truck with 45A ESC and app control system for smooth and responsive driving. Built with metal accessories and strong off-road suspension, perfect for climbing, racing, and extreme off-road adventures. 🚗"
74,SGJXC5813A-PB,1:24 Scale Delica Official Licensed RWD Mini Radio Control RC Drift Car 2.4GHz Proportional Multipurpose Entertainment,Racing Cars,1:24,6873,5825,18,95030090,8591,20,25,In Stock,RWD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,35 × 21 × 20 cm,2 kg,8+ Years,N/A,N/A,0,"The SGJXC5813A-PB RC Car is a 1:24 scale mini remote control vehicle designed for smooth and realistic driving. It features 2.4GHz full-proportional control, LED headlights, and a durable build for stable performance. With responsive steering and up to 50 m control range, it’s perfect for indoor and outdoor RC fun. 🚗","The SGJXC5813A-PB RC Car is a 1:24 scale mini remote control vehicle designed for smooth and realistic driving. It features 2.4GHz full-proportional control, LED headlights, and a durable build for stable performance. With responsive steering and up to 50 m control range, it’s perfect for indoor and outdoor RC fun. 🚗"
75,SGJXC5826-PB,1:12 Scale 4Runner Land Cruiser LC80 Official Licensed Off Road RC Crawler Truck With 2.4G Proportional Remote Control Led Light,Off Road Crawlers,1:12,14373,12181,18,95030090,17966,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,64 × 30 × 32 cm,5 kg,8+ Years,N/A,N/A,0,"Official Licensed 1:12 Scale Land Cruiser LC80 4Runner RC Crawler Truck with 2.4GHz proportional remote control and LED lights. Built for realistic off-road driving, climbing, and rough terrain performance, perfect for adventure and hobby-grade RC fun. 🚗","Official Licensed 1:12 Scale Land Cruiser LC80 4Runner RC Crawler Truck with 2.4GHz proportional remote control and LED lights. Built for realistic off-road driving, climbing, and rough terrain performance, perfect for adventure and hobby-grade RC fun. 🚗"
76,SGSCY16307-B,1:16 Brushless RC Drift Car 60KM/H High Speed Remote Control RC Cars 2.4G 4WD RC Car,Drift Cars,1:16,15623,13240,18,95030090,19529,20,25,In Stock,4WD,60KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,41 × 18 × 30 cm,1.9 kg,8+ Years,N/A,N/A,0,"The SGSCY16307-B RC Car is a durable 1:16 scale 4WD off-road vehicle designed for speed and stability. With a powerful motor, strong suspension, and 2.4GHz remote control, it delivers smooth performance on different terrains. Perfect for RC enthusiasts who enjoy exciting off-road racing and high-speed action. 🚗💨","The SGSCY16307-B RC Car is a durable 1:16 scale 4WD off-road vehicle designed for speed and stability. With a powerful motor, strong suspension, and 2.4GHz remote control, it delivers smooth performance on different terrains. Perfect for RC enthusiasts who enjoy exciting off-road racing and high-speed action. 🚗💨"
77,SGHG451-HY,1:18 2.4G 4WD RC Car Command Vehicle LED Light Simulated Sound Smoke Crawler Off-Road Climbing Truck RTR Full,Racing Cars,1:18,13073,11079,18,95030090,16341,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,32 × 19 × 19 cm,1.5 kg,8+ Years,N/A,N/A,0,"The SGHG451-HY RC Car offers exciting speed and smooth remote-control performance. With a reliable 2.4GHz control system, it provides stable handling and responsive driving. Its durable body and rugged tires make it ideal for racing, drifting, and fun outdoor RC adventures.","The SGHG451-HY RC Car offers exciting speed and smooth remote-control performance. With a reliable 2.4GHz control system, it provides stable handling and responsive driving. Its durable body and rugged tires make it ideal for racing, drifting, and fun outdoor RC adventures."
78,SGHG453-G,1:16 RC Off-Road Car 4WD Jimny 2.4G Electric Remote Control SUV Model with Light Rock Crawler Cars for Boys,Racing Cars,1:16,12123,10274,18,95030090,15154,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,54 × 49 × 61 cm,1.5 kg,8+ Years,N/A,N/A,0,"The SGHG453-G RC Car is a durable 1:16 scale 4WD off-road vehicle built for speed and control. Featuring a powerful motor, strong suspension, and 2.4GHz remote control, it ensures smooth performance on different terrains. Perfect for RC enthusiasts who enjoy fast driving and exciting off-road adventures. 🚗💨","The SGHG453-G RC Car is a durable 1:16 scale 4WD off-road vehicle built for speed and control. Featuring a powerful motor, strong suspension, and 2.4GHz remote control, it ensures smooth performance on different terrains. Perfect for RC enthusiasts who enjoy fast driving and exciting off-road adventures. 🚗💨"
79,SGR1601-Y,1:16 Scale Remote Control Off Road Racing Car with Cruise Control High Speed Climbing RC Crawler,Off Road Crawlers,1:16,6248,5295,18,95030090,7810,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,29 × 25 × 19 cm,1.4 kg,8+ Years,N/A,N/A,0,"The SGR1601-Y RC Car is a high-performance remote control vehicle built for speed, durability, and smooth handling. With a responsive 2.4GHz control system and strong off-road tires, it performs well on different terrains. Its sturdy design and stable drive make it ideal for racing, drifting, and outdoor RC fun.","The SGR1601-Y RC Car is a high-performance remote control vehicle built for speed, durability, and smooth handling. With a responsive 2.4GHz control system and strong off-road tires, it performs well on different terrains. Its sturdy design and stable drive make it ideal for racing, drifting, and outdoor RC fun."
80,SGRD1201-R,1:12 Scale High-Speed Four-Wheel Drive RC Car 2.4ghz Remote Control Toys Model RC Car,Racing Cars,1:12,15573,13197,18,95030090,19466,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,44 × 27 × 26 cm,3.5 kg,8+ Years,N/A,N/A,0,"High-performance 1:12 Scale 4WD RC Car with 2.4GHz remote control system for smooth and stable driving. Designed for high-speed racing, off-road performance, and exciting RC adventures, perfect for hobby-grade fun. 🚗","High-performance 1:12 Scale 4WD RC Car with 2.4GHz remote control system for smooth and stable driving. Designed for high-speed racing, off-road performance, and exciting RC adventures, perfect for hobby-grade fun. 🚗"
81,HA6601B,1:64 Scale 2.4G Portable Mini RC 4CH Metal Mini Alloy Mini RC Remote Control Rc Drift Car,Racing Cars,1:64,2499,2118,18,95030090,3124,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,12 × 6 × 12 cm,0.18 kg,8+ Years,N/A,N/A,0,"Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts","Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts"
82,HC18801C,1:64 Scale 2.4G Portable Mini RC 4CH Metal Mini Alloy Mini RC Remote Control Rc Drift Car,Racing Cars,1:64,2499,2118,18,95030090,3124,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,12 × 6 × 12 cm,0.19 kg,8+ Years,N/A,N/A,0,"Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts","Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts"
83,HC18801B,1:64 Scale 2.4G Portable Mini RC 4CH Metal Mini Alloy Mini RC Remote Control Rc Drift Car,Racing Cars,1:64,2499,2118,18,95030090,3124,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,12 × 6 × 12 cm,0.19 kg,8+ Years,N/A,N/A,0,"Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts","Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts"
84,HC18801A,1:64 Scale 2.4G Portable Mini RC 4CH Metal Mini Alloy Mini RC Remote Control Rc Drift Car,Racing Cars,1:64,2499,2118,18,95030090,3124,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,12 × 6 × 12 cm,0.19 kg,8+ Years,N/A,N/A,0,"Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts","Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts"
85,HC15501A,1:64 Scale 2.4G Portable Mini RC 4CH Metal Mini Alloy Mini RC Remote Control Rc Drift Car,Racing Cars,1:64,2499,2118,18,95030090,3124,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,12 × 6 × 12 cm,0.19 kg,8+ Years,N/A,N/A,0,"Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts","Enjoy thrilling drifting with this 1:64 Scale 2.4G Portable Mini RC Drift Car featuring a durable metal alloy Mini RC body and 4-channel control for smooth handling. Its compact design makes it perfect for desk racing and indoor play, delivering realistic drift action, stable control, and fun driving for collectors and RC enthusiasts"
